formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
AsSCl,0.047,-0.352,1.535,No,p3m1,AsClS-afd0d75a82a2,2.794,3.270,0.947,2.016
AsSCl,0.215,-0.184,1.731,No,p3m1,AsClS-0fd6ab210774,2.933,3.364,1.009,2.173
AsSeCl,0.005,-0.382,1.373,No,p3m1,AsClSe-1a3be826b3e0,2.561,3.067,0.791,1.855
AsSeCl,0.172,-0.215,1.717,No,p3m1,AsClSe-df329350eef2,2.824,3.122,0.817,1.983
AsTeCl,0.009,-0.322,1.479,No,p3m1,AsClTe-4fd8ad708fb0,2.596,2.819,0.492,1.745
AsTeCl,0.186,-0.145,1.289,No,p3m1,AsClTe-fba4cc0df459,2.203,2.703,0.609,1.697
Sc2O2,0.249,-2.764,0.700,No,p-6m2,O2Sc2-b757b8efeeab,1.355,1.355,0.640,0.705
AsSI,0.079,-0.108,1.336,No,p3m1,AsIS-b13beafa16aa,2.356,2.358,0.466,1.366
AsSI,0.271,0.084,0.222,No,p3m1,AsIS-e23390b66883,1.095,1.585,0.355,0.677
AsSeI,0.019,-0.160,1.151,No,p3m1,AsISe-5d829e480507,2.030,2.214,0.510,1.301
AsSeI,0.193,0.014,0.446,No,p3m1,AsISe-ca926a42865b,1.300,1.573,0.355,0.690
AsTeI,0.000,-0.124,0.982,No,p3m1,AsITe-b6d803aafe3a,1.795,2.086,0.475,1.215
AsTeI,0.162,0.038,0.329,No,p3m1,AsITe-114b3382699c,1.091,1.419,0.348,0.589
W2O2,0.503,-1.009,0.053,No,p-6m2,O2W2-42fa50003592,,,0.313,0.086
BiSBr,0.009,-0.557,0.891,No,p3m1,BiBrS-49b7be14f786,2.335,2.515,0.822,1.145
BiSBr,0.124,-0.442,1.188,No,p3m1,BiBrS-3b305c3e2c18,2.666,2.908,0.771,1.487
BiSeBr,0.000,-0.583,0.733,No,p3m1,BiBrSe-de5756e4fbfa,2.010,2.153,0.714,0.880
