i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000036447,0,CsBr,Br Cs,8,4.218,4.157,0.063,0.077,0.0,0,0.0,0,0,0,-1,,,3.462,0.077,0.245,0,0,,6.571,1.748,4.885,0.95,0.379
agm2000109751,0,CsBr,Br Cs,4,4.227,4.158,0.064,0.077,0.0,0,0.0,0,0,0,-1,,,3.462,0.077,0.246,0,0,,6.568,1.745,4.886,0.95,0.38
agm2000145228,0,HfMgCl6,Cl Hf Mg,8,4.217,4.158,0.033,0.104,0.0,0,0.08,0,1,1,-1,,,5.414,0.118,0.198,1,0,,7.116,1.859,5.401,0.04,0.22
agm2000144627,0,NaIF6,F I Na,8,4.004,4.159,0.164,0.194,0.0,1,0.85,2,1,1,-1,,,5.567,0.274,0.262,2,0,,,,,0.12,0.666
agm2000005292,0,ZnF2,F Zn,6,4.241,4.159,0.091,0.129,0.0,0,0.05,0,1,0,-1,,,6.204,0.12,0.235,1,0,,6.621,1.792,4.988,0.58,0.542
Br2Cs2-a9677b59b7ce,1,CsBr,Br Cs,4,4.08,4.159,0.065,0.077,0.0,0,0.0,0,0,0,-1,,,3.465,0.077,0.246,0,1,3.502,6.574,1.747,4.893,0.95,0.388
JVASP-27899,2,ZrP2(HO3)2,H O P Zr,11,2.979,4.159,0.066,0.262,0.05,0,0.24,1,0,0,-1,,,3.449,0.257,0.234,2,0,,6.038,1.785,4.753,0.46,0.311
agm2000097377,0,LaCl2F,Cl F La,8,4.059,4.16,0.137,0.144,0.0,0,0.1,1,0,0,-1,,,6.022,0.612,0.162,2,0,,6.349,1.906,4.614,0.52,0.62
agm2000135401,0,K2Hf(HO)6,H Hf K O,15,4.2,4.16,0.055,0.157,0.0,0,0.14,0,3,1,-1,,,2.858,0.122,0.111,1,0,,5.957,1.668,4.554,0.21,0.375
agm2000020271,0,BiF3,Bi F,8,4.38,4.161,0.092,0.102,0.0,1,0.64,0,1,1,-1,,,6.289,0.275,0.195,2,0,,5.501,1.63,4.037,0.55,0.548
agm2000143206,0,CaThBr6,Br Ca Th,8,4.095,4.162,0.035,0.069,0.0,0,0.14,0,1,1,-1,,,5.85,0.071,0.145,0,0,,7.213,1.752,5.604,0.09,0.239
agm2000009933,0,CsF,Cs F,6,4.153,4.162,0.124,0.184,0.0,0,0.01,1,0,0,-1,,,5.933,0.509,0.39,2,0,,6.265,1.593,4.831,0.87,0.563
agm2000023415,0,RbBr,Br Rb,12,4.205,4.162,0.024,0.009,0.0,0,0.0,0,1,0,-1,,,3.711,0.054,0.151,0,0,,6.689,1.785,4.955,0.93,0.193
agm2000085158,0,BeInCl3,Be Cl In,10,4.232,4.163,0.089,0.118,0.0,1,0.54,0,1,1,-1,,,4.854,0.169,0.215,2,0,,6.392,1.819,4.686,0.42,0.422
agm2000003217,0,NaBr,Br Na,2,4.379,4.163,0.067,0.108,0.0,1,0.88,0,0,0,-1,,,3.115,0.5,0.293,2,0,,6.518,1.601,5.072,0.64,0.401
agm2000143142,0,SmYBr6,Br Sm Y,8,4.17,4.164,0.021,0.037,0.0,0,0.02,0,1,1,-1,,,5.769,0.037,0.119,0,0,,5.296,1.394,4.228,0.05,0.145
agm2000034583,0,NaBr,Br Na,16,4.38,4.164,0.068,0.108,0.0,1,0.88,0,0,0,-1,,,3.115,0.5,0.294,2,0,,6.516,1.601,5.07,0.64,0.408
agm2000020458,0,CsF,Cs F,8,4.164,4.164,0.124,0.184,0.0,0,0.01,1,0,0,-1,,,5.932,0.507,0.39,2,0,,6.268,1.594,4.833,0.87,0.56
agm2000009932,0,CsF,Cs F,6,4.15,4.164,0.124,0.184,0.0,0,0.01,1,0,0,-1,,,5.93,0.503,0.391,2,0,,6.267,1.594,4.832,0.87,0.56
agm2000018290,0,NaBr,Br Na,8,4.375,4.164,0.069,0.108,0.0,1,0.88,0,0,0,-1,,,3.115,0.5,0.294,2,0,,6.514,1.601,5.069,0.64,0.412
agm2000028509,0,NaBr,Br Na,8,4.363,4.164,0.069,0.108,0.0,1,0.88,0,0,0,-1,,,3.116,0.5,0.294,2,0,,6.514,1.601,5.068,0.64,0.412
agm2000010232,0,NaBr,Br Na,6,4.368,4.164,0.069,0.108,0.0,1,0.88,0,0,0,-1,,,3.115,0.5,0.294,2,0,,6.514,1.601,5.069,0.64,0.411
agm2000005934,0,NaBr,Br Na,4,4.363,4.164,0.069,0.108,0.0,1,0.88,0,0,0,-1,,,3.115,0.5,0.294,2,0,,6.513,1.6,5.068,0.64,0.414
agm2000025025,0,RbBr,Br Rb,8,4.203,4.164,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.609,0.084,0.151,0,0,,6.644,1.751,4.936,0.91,0.146
agm2000019439,0,RbBr,Br Rb,8,4.206,4.165,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.608,0.086,0.151,0,0,,6.645,1.752,4.935,0.91,0.143
agm2000002615,0,CsF,Cs F,2,4.148,4.165,0.123,0.184,0.0,0,0.01,1,0,0,-1,,,5.93,0.504,0.391,2,0,,6.269,1.594,4.833,0.87,0.557
agm2000034028,0,CsF,Cs F,16,4.153,4.165,0.128,0.183,0.0,0,0.01,1,0,0,-1,,,5.934,0.506,0.39,2,0,,6.275,1.597,4.835,0.87,0.58
agm2000143135,0,PmYBr6,Br Pm Y,8,4.191,4.165,0.024,0.035,0.0,0,0.0,0,1,1,-1,,,5.637,0.142,0.118,2,0,,5.306,1.444,4.178,0.05,0.164
agm2000029252,0,RbBr,Br Rb,4,4.229,4.165,0.025,0.023,0.0,0,0.0,0,1,0,-1,,,3.778,0.046,0.155,0,0,,6.742,1.826,4.97,0.95,0.2
agm2000004734,0,LaCl3,Cl La,4,4.202,4.166,0.053,0.069,0.0,0,0.0,0,1,1,-1,,,6.418,0.5,0.124,2,0,,6.304,1.892,4.598,0.12,0.355
agm2000078706,0,MgBrCl,Br Cl Mg,9,4.166,4.166,0.094,0.127,0.0,1,0.38,1,0,0,-1,,,5.139,0.091,0.293,1,0,,7.024,1.705,5.497,0.61,0.425
agm2000032938,0,RbBr,Br Rb,16,4.205,4.166,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.607,0.086,0.151,0,0,,6.646,1.751,4.937,0.91,0.146
agm2000017865,0,RbBr,Br Rb,8,4.205,4.166,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.606,0.086,0.151,0,0,,6.644,1.751,4.936,0.91,0.145
agm2000004504,0,RbBr,Br Rb,6,4.207,4.166,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.606,0.086,0.151,0,0,,6.644,1.751,4.935,0.91,0.144
agm2000002586,0,RbBr,Br Rb,2,4.207,4.166,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.606,0.086,0.151,0,0,,6.642,1.75,4.935,0.91,0.144
agm2000004500,0,RbBr,Br Rb,4,4.207,4.166,0.018,0.002,0.0,0,0.0,0,1,0,-1,,,3.606,0.086,0.151,0,0,,6.644,1.75,4.935,0.91,0.144
agm2000005450,0,CsF,Cs F,4,4.139,4.166,0.123,0.184,0.0,0,0.01,1,0,0,-1,,,5.93,0.504,0.391,2,0,,6.269,1.594,4.834,0.87,0.556
agm2000036849,0,CsF,Cs F,8,4.156,4.166,0.127,0.184,0.0,0,0.01,1,0,0,-1,,,5.936,0.514,0.389,2,0,,6.276,1.597,4.837,0.87,0.573
agm2000142873,0,PrNdBr6,Br Nd Pr,8,4.222,4.166,0.027,0.031,0.0,0,0.01,0,1,1,-1,,,5.771,0.18,0.216,2,0,,5.514,1.483,4.298,0.06,0.181
agm2000015877,0,LaCl3,Cl La,8,4.198,4.167,0.053,0.07,0.0,0,0.0,0,1,1,-1,,,6.418,0.5,0.124,2,0,,6.3,1.892,4.594,0.11,0.358
agm2000138083,0,LiCaI3,Ca I Li,10,4.262,4.167,0.054,0.133,0.0,1,0.93,0,1,1,-1,,,4.374,0.168,0.194,2,0,,6.897,1.643,5.593,0.2,0.366
agm2000036568,0,SmCl3,Cl Sm,16,4.149,4.167,0.133,0.149,0.0,0,0.15,1,0,0,-1,,,6.188,0.113,0.187,1,0,,6.353,1.793,4.765,0.71,0.602
agm2000033194,0,LaCl3,Cl La,16,4.191,4.167,0.053,0.069,0.0,0,0.0,0,1,1,-1,,,6.418,0.5,0.124,2,0,,6.303,1.893,4.596,0.11,0.357
agm2000143822,0,ThPbCl6,Cl Pb Th,8,4.39,4.167,0.054,0.133,0.0,0,0.13,0,2,1,-1,,,6.53,0.082,0.104,0,0,,6.897,1.892,5.227,0.11,0.368
agm2000034021,0,CsF,Cs F,8,4.142,4.167,0.123,0.184,0.0,0,0.01,1,0,0,-1,,,5.93,0.505,0.391,2,0,,6.271,1.594,4.835,0.87,0.556
agm2000011089,0,RbBr,Br Rb,8,4.234,4.168,0.025,0.021,0.0,0,0.0,0,1,0,-1,,,3.765,0.047,0.154,0,0,,6.733,1.822,4.963,0.94,0.205
agm2000012740,0,LaCl3,Cl La,8,4.214,4.168,0.052,0.069,0.0,0,0.0,0,1,1,-1,,,6.418,0.5,0.124,2,0,,6.315,1.899,4.599,0.11,0.349
agm2000143136,0,PrYBr6,Br Pr Y,8,4.174,4.169,0.011,0.031,0.0,0,0.0,0,1,1,-1,,,5.675,0.145,0.14,2,0,,5.457,1.433,4.263,0.05,0.073
agm2000089133,0,KRbBr2,Br K Rb,8,4.237,4.169,0.034,0.027,0.0,0,0.0,0,1,0,-1,,,3.676,0.067,0.122,0,0,,6.741,1.806,5.006,0.89,0.273
agm2000025389,0,LiI,I Li,12,4.331,4.169,0.015,0.047,0.0,1,0.57,0,1,1,-1,,,3.777,0.219,0.305,2,0,,6.75,1.799,5.152,0.46,0.103
agm2000065866,0,Li2TlBr3,Br Li Tl,12,4.293,4.169,0.074,0.088,0.0,1,0.71,0,1,0,-1,,,3.957,0.26,0.288,2,0,,6.998,1.838,5.39,0.57,0.441
agm2000105060,0,Pb2Cl3F,Cl F Pb,12,4.254,4.169,0.144,0.223,0.0,1,0.69,1,1,0,-1,,,5.513,0.055,0.252,0,0,,6.594,1.917,4.808,0.27,0.566
agm2000138717,0,CaCdCl4,Ca Cd Cl,12,4.216,4.17,0.049,0.086,0.0,0,0.18,0,1,1,-1,,,5.813,0.111,0.182,1,0,,7.282,1.931,5.469,0.07,0.329
agm2000135469,0,K2Zr(HO)6,H K O Zr,15,4.225,4.17,0.035,0.107,0.0,0,0.12,0,1,1,-1,,,2.791,0.124,0.119,1,0,,6.239,1.842,4.677,0.16,0.239
agm2000135937,0,SrICl,Cl I Sr,6,4.235,4.17,0.037,0.2,0.0,1,0.77,0,1,1,-1,,,5.211,0.087,0.229,0,0,,6.866,2.036,4.991,0.45,0.247
agm2000025369,0,KBr,Br K,12,4.287,4.171,0.062,0.08,0.0,0,0.0,0,1,0,-1,,,4.356,0.183,0.273,2,0,,7.184,1.974,5.299,0.85,0.371
agm2000142877,0,PmPrBr6,Br Pm Pr,8,4.22,4.171,0.017,0.039,0.0,0,0.0,0,1,1,-1,,,5.81,0.261,0.158,2,0,,5.456,1.418,4.307,0.07,0.113
agm2000143144,0,TbYBr6,Br Tb Y,8,4.203,4.172,0.021,0.036,0.0,0,0.02,0,3,1,-1,,,5.669,0.07,0.118,0,0,,5.457,1.549,4.183,0.04,0.139
agm2000023505,0,ZnCl2,Cl Zn,12,4.192,4.172,0.064,0.097,0.0,0,0.0,0,1,1,-1,,,5.838,0.06,0.24,0,0,,7.017,2.087,5.013,0.11,0.301
agm2000066280,0,MgTlCl3,Cl Mg Tl,10,4.253,4.172,0.029,0.088,0.0,1,0.53,0,1,0,-1,,,4.511,0.135,0.363,2,0,,6.851,1.88,5.057,0.64,0.232
agm2000027892,0,LaCl3,Cl La,8,4.3,4.173,0.056,0.077,0.0,0,0.0,0,1,1,-1,,,6.447,0.505,0.122,2,0,,6.276,1.898,4.545,0.1,0.379
agm2000135526,0,BeICl,Be Cl I,6,4.16,4.173,0.103,0.161,0.0,1,0.54,1,1,1,-1,,,4.846,0.385,0.351,2,0,,6.926,2.023,5.344,0.19,0.405
agm2000024087,0,KBr,Br K,16,4.111,4.173,0.062,0.018,0.0,0,0.0,0,1,0,-1,,,4.074,0.053,0.175,0,0,,6.806,1.866,5.046,0.87,0.373
agm2000056341,0,MgTlCl3,Cl Mg Tl,5,4.248,4.173,0.029,0.088,0.0,1,0.53,0,1,0,-1,,,4.512,0.134,0.363,2,0,,6.855,1.881,5.061,0.64,0.234
agm2000070778,0,AlICl2,Al Cl I,4,4.167,4.174,0.052,0.057,0.0,0,0.31,0,1,0,-1,,,4.407,0.232,0.19,2,0,,6.852,1.857,5.208,0.51,0.424
agm2000142796,0,NdSmBr6,Br Nd Sm,8,4.217,4.174,0.028,0.035,0.0,0,0.02,0,1,1,-1,,,5.889,0.163,0.149,2,0,,5.336,1.398,4.301,0.04,0.192
agm2000019378,0,HfBr4,Br Hf,10,4.208,4.174,0.064,0.089,0.0,0,0.11,0,1,1,-1,,,5.548,0.131,0.188,1,0,,6.634,1.857,4.958,0.29,0.303
agm2000143122,0,YErBr6,Br Er Y,8,4.229,4.174,0.017,0.033,0.0,0,0.08,0,1,1,-1,,,5.802,0.167,0.116,2,0,,5.408,1.537,4.151,0.04,0.118
agm2000136614,0,NaLi2ScCl6,Cl Li Na Sc,10,4.131,4.175,0.043,0.137,0.0,0,0.1,0,1,1,-1,,,4.493,0.298,0.297,2,0,,7.008,2.057,5.199,0.11,0.29
agm2000142793,0,PmNdBr6,Br Nd Pm,8,4.212,4.175,0.022,0.029,0.0,0,0.0,0,1,1,-1,,,5.775,0.196,0.139,2,0,,5.31,1.429,4.242,0.04,0.149
agm2000038285,0,GaCl3,Cl Ga,16,4.513,4.175,0.144,0.115,0.0,1,0.44,2,0,0,-1,,,5.094,0.128,0.204,1,0,,,,,0.54,0.518
agm2000095124,0,BBrCl2,B Br Cl,8,4.243,4.176,0.033,0.031,0.0,1,0.66,0,1,1,-1,,,6.105,0.175,0.199,2,0,,6.8,1.927,5.057,0.41,0.222
agm2000143995,0,PmScCl6,Cl Pm Sc,8,4.204,4.178,0.06,0.063,0.0,0,0.0,0,3,1,-1,,,6.236,0.21,0.098,2,0,,5.341,1.493,4.098,0.04,0.408
agm2000003747,0,CsBr,Br Cs,4,4.267,4.178,0.042,0.109,0.0,0,0.0,0,1,1,-1,,,4.453,0.425,0.372,2,0,,6.533,1.775,4.785,0.81,0.344
Br2Rb2-307d05b0f770,1,RbBr,Br Rb,4,4.18,4.178,0.03,0.016,0.0,0,0.0,0,0,0,-1,,,3.68,0.063,0.151,0,1,3.768,6.67,1.798,4.909,0.93,0.243
agm2000144004,0,TbScCl6,Cl Sc Tb,8,4.198,4.178,0.036,0.038,0.0,0,0.0,0,1,1,-1,,,6.261,0.143,0.095,2,0,,5.457,1.477,4.235,0.05,0.244
agm2000020459,0,CsF,Cs F,8,4.154,4.179,0.089,0.174,0.0,0,0.01,0,0,0,-1,,,6.162,0.497,0.355,2,0,,6.294,1.621,4.824,0.84,0.532
agm2000088179,0,BaTlF3,Ba F Tl,10,4.1,4.179,0.048,0.165,0.0,1,0.65,0,1,1,-1,,,5.823,0.45,0.235,2,0,,6.855,1.928,5.148,0.64,0.387
agm2000019380,0,HfBr4,Br Hf,10,4.284,4.179,0.046,0.096,0.0,0,0.17,0,1,1,-1,,,5.487,0.123,0.213,1,0,,6.613,1.827,4.949,0.25,0.314
agm2000043741,0,BiF3,Bi F,16,4.244,4.179,0.084,0.106,0.02,1,0.74,0,1,0,-1,,,6.448,0.353,0.187,2,0,,5.661,1.718,4.063,0.62,0.501
agm2000038366,0,YCl3,Cl Y,16,4.233,4.179,0.031,0.058,0.0,0,0.1,0,1,1,-1,,,5.61,0.113,0.159,1,0,,5.865,1.745,4.288,0.25,0.21
agm2000027798,0,CaBr2,Br Ca,12,4.167,4.179,0.034,0.116,0.0,1,0.85,0,1,0,-1,,,4.876,0.084,0.212,0,0,,7.128,1.915,5.389,0.67,0.275
agm2000056893,0,BaNaBr3,Ba Br Na,5,4.119,4.18,0.04,0.079,0.0,0,0.3,0,1,0,-1,,,3.759,0.36,0.214,2,0,,7.163,2.158,5.081,0.86,0.322
agm2000139837,0,NaPmCl4,Cl Na Pm,12,4.137,4.18,0.054,0.102,0.0,0,0.0,0,3,1,-1,,,5.353,0.21,0.341,2,0,,6.853,2.1,4.962,0.26,0.365
agm2000031490,0,NaBr,Br Na,16,4.357,4.18,0.065,0.108,0.0,1,0.88,0,0,0,-1,,,3.131,0.504,0.295,2,0,,6.564,1.626,5.083,0.68,0.388
agm2000139554,0,LiYCl4,Cl Li Y,12,4.274,4.181,0.084,0.073,0.0,0,0.21,0,1,1,-1,,,4.671,0.19,0.187,2,0,,6.494,1.905,4.853,0.29,0.399
agm2000042746,0,YCl3,Cl Y,12,4.057,4.181,0.034,0.077,0.0,0,0.18,0,1,1,-1,,,5.759,0.114,0.171,1,0,,5.749,1.651,4.369,0.31,0.232
agm2000077477,0,SbClF2,Cl F Sb,8,4.278,4.181,0.039,0.098,0.0,1,0.94,0,1,1,-1,,,6.701,0.29,0.187,2,0,,5.771,1.754,4.224,0.13,0.261
agm2000142860,0,PmSmBr6,Br Pm Sm,8,4.221,4.181,0.024,0.033,0.0,0,0.0,0,1,1,-1,,,5.916,0.182,0.126,2,0,,5.328,1.382,4.304,0.06,0.162
agm2000135698,0,Rb2Zr(HO)6,H O Rb Zr,15,4.169,4.182,0.049,0.097,0.0,0,0.22,0,1,1,-1,,,2.915,0.069,0.144,0,0,,6.135,1.749,4.637,0.18,0.33
agm2000016004,0,CsCl,Cl Cs,8,4.447,4.182,0.13,0.235,0.0,0,0.0,1,0,0,-1,,,4.032,0.264,0.333,2,0,,6.641,1.87,4.885,0.91,0.587
agm2000077440,0,NdBrF2,Br F Nd,8,4.344,4.183,0.028,0.1,0.0,1,0.81,0,1,0,-1,,,5.943,0.354,0.249,2,0,,5.968,1.725,4.539,0.59,0.23
agm2000019041,0,AlCl3,Al Cl,8,4.253,4.183,0.112,0.075,0.0,0,0.0,1,1,1,-1,,,5.685,0.086,0.181,0,0,,6.071,1.855,4.462,0.08,0.443
agm2000143989,0,NdScCl6,Cl Nd Sc,8,4.208,4.183,0.05,0.048,0.0,0,0.03,0,1,1,-1,,,6.181,0.341,0.103,2,0,,5.409,1.478,4.178,0.05,0.335
agm2000097785,0,Cs2KBr3,Br Cs K,12,4.201,4.184,0.067,0.101,0.0,0,0.0,0,1,1,-1,,,4.564,0.443,0.454,2,0,,7.064,1.803,5.537,0.41,0.315
agm2000065294,0,Cs2KF3,Cs F K,12,4.246,4.184,0.047,0.123,0.0,0,0.0,0,1,0,-1,,,6.256,0.358,0.348,2,0,,6.515,1.751,4.935,0.89,0.38
agm2000086483,0,Zn2BrCl3,Br Cl Zn,12,4.268,4.184,0.085,0.129,0.0,0,0.0,0,1,1,-1,,,5.427,0.139,0.276,2,0,,6.821,1.932,4.94,0.33,0.4
agm2000144660,0,RbIF6,F I Rb,8,4.208,4.184,0.224,0.204,0.0,1,0.43,2,3,1,-1,,,5.869,0.278,0.226,2,0,,,,,0.34,0.907
agm2000039097,0,SbF3,F Sb,16,4.514,4.184,0.689,0.17,0.0,1,0.68,2,0,0,-1,,,7.067,0.317,0.131,2,0,,,,,0.49,2.794
agm2000055156,0,Mg2Br3F,Br F Mg,6,4.188,4.184,0.064,0.103,0.0,1,0.51,0,1,0,-1,,,4.947,0.15,0.465,2,0,,6.963,1.746,5.483,0.75,0.384
agm2000139540,0,LiPrCl4,Cl Li Pr,12,4.258,4.185,0.022,0.106,0.0,0,0.0,0,1,1,-1,,,5.866,0.39,0.159,2,0,,6.516,1.82,4.96,0.28,0.147
agm2000020221,0,PbF2,F Pb,12,4.132,4.185,0.094,0.132,0.0,1,0.97,1,0,0,-1,,,5.296,0.073,0.293,1,0,,5.988,1.875,4.374,0.73,0.425
agm2000095687,0,RbCaBr3,Br Ca Rb,10,4.151,4.186,0.037,0.086,0.0,0,0.21,0,1,0,-1,,,4.169,0.083,0.182,0,0,,7.339,2.152,5.312,0.9,0.302
agm2000139841,0,NaSmCl4,Cl Na Sm,12,4.164,4.186,0.05,0.131,0.0,0,0.0,0,2,1,-1,,,5.562,0.279,0.234,2,0,,6.449,1.882,4.877,0.43,0.34
agm2000004849,0,CsCl,Cl Cs,6,4.195,4.187,0.108,0.197,0.0,0,0.0,1,0,0,-1,,,3.97,0.329,0.335,2,0,,6.323,1.79,4.697,0.94,0.487
agm2000075799,0,Be3TeBr4,Be Br Te,8,4.237,4.187,0.062,0.18,0.0,1,0.64,0,1,0,-1,,,4.655,0.105,0.448,2,0,,6.194,1.748,4.677,0.46,0.292
agm2000142880,0,PrSmBr6,Br Pr Sm,8,4.224,4.187,0.025,0.04,0.0,0,0.0,0,1,1,-1,,,5.92,0.17,0.158,2,0,,5.49,1.401,4.344,0.09,0.168
agm2000111765,0,CsF,Cs F,4,4.219,4.187,0.136,0.181,0.0,0,0.01,1,0,0,-1,,,5.946,0.524,0.388,2,0,,6.322,1.613,4.864,0.86,0.614
agm2000019377,0,HfBr4,Br Hf,10,4.205,4.187,0.085,0.075,0.0,0,0.12,0,1,1,-1,,,5.411,0.148,0.211,2,0,,6.851,1.865,5.173,0.29,0.401
agm2000033810,0,SnF2,F Sn,12,3.655,4.188,0.078,0.213,0.03,1,0.84,0,3,1,-1,,,6.643,0.219,0.152,2,0,,6.126,1.692,4.682,0.51,0.468
FeF2-c67fbd722c30,1,FeF2,F Fe,3,0.135,4.189,0.296,0.274,0.0,1,0.43,2,0,0,-1,,,6.209,0.086,0.148,0,1,6.316,,,,0.38,1.201
agm2000001027,0,H2S,H S,9,4.427,4.189,0.121,0.191,0.0,0,0.24,1,1,1,-1,,,4.048,0.23,0.294,2,0,,6.371,1.645,5.05,0.13,0.475
agm2000070766,0,AlBrCl2,Al Br Cl,4,4.238,4.19,0.113,0.081,0.0,0,0.23,1,1,1,-1,,,4.725,0.169,0.221,2,0,,6.105,1.695,4.694,0.16,0.445
agm2000090247,0,Na2IBr,Br I Na,8,4.259,4.19,0.049,0.111,0.0,1,0.75,0,1,0,-1,,,3.181,0.516,0.305,2,0,,7.035,1.912,5.237,0.8,0.4
agm2000083735,0,AlSCl,Al Cl S,12,4.1,4.19,0.053,0.08,0.0,1,0.53,0,1,0,-1,,,3.811,0.12,0.258,1,0,,6.289,1.96,4.585,0.33,0.36
agm2000137044,0,LaClO,Cl La O,6,4.226,4.192,0.048,0.134,0.0,0,0.11,0,1,1,-1,,,6.217,0.906,0.218,2,0,,5.552,1.623,4.409,0.21,0.323
agm2000022001,0,AlCl3,Al Cl,8,4.216,4.193,0.079,0.052,0.0,0,0.04,0,1,1,-1,,,5.055,0.192,0.211,2,0,,6.371,1.899,4.761,0.13,0.372
agm2000003749,0,RbBr,Br Rb,4,4.303,4.193,0.073,0.072,0.0,0,0.0,0,1,1,-1,,,4.982,0.31,0.317,2,0,,7.016,1.776,5.417,0.41,0.344
agm2000001842,0,HBr,Br H,12,4.148,4.194,0.06,0.127,0.14,0,0.18,0,1,0,-1,,,4.188,0.222,0.302,2,0,,6.572,1.722,5.248,0.11,0.408
agm2000143149,0,YTmBr6,Br Tm Y,8,4.234,4.194,0.012,0.03,0.0,0,0.01,0,1,1,-1,,,5.645,0.255,0.118,2,0,,5.364,1.458,4.199,0.04,0.08
agm2000034025,0,CsF,Cs F,16,4.13,4.194,0.082,0.173,0.0,0,0.0,0,0,0,-1,,,6.715,0.322,0.281,2,0,,6.281,1.622,4.803,0.81,0.489
agm2000008508,0,RbBr,Br Rb,8,4.307,4.194,0.073,0.072,0.0,0,0.0,0,1,1,-1,,,4.981,0.31,0.316,2,0,,7.016,1.775,5.418,0.41,0.345
agm2000025077,0,ZnCl2,Cl Zn,6,4.178,4.194,0.089,0.07,0.0,0,0.0,0,1,1,-1,,,5.919,0.054,0.225,0,0,,7.014,2.058,5.159,0.16,0.418
agm2000142797,0,TbNdBr6,Br Nd Tb,8,4.235,4.195,0.019,0.031,0.0,0,0.03,0,1,1,-1,,,5.814,0.187,0.152,2,0,,5.412,1.501,4.218,0.04,0.13
agm2000142851,0,PmErBr6,Br Er Pm,8,4.23,4.195,0.05,0.033,0.0,0,0.0,0,3,1,-1,,,5.967,0.195,0.125,2,0,,5.322,1.459,4.18,0.04,0.338
agm2000142786,0,NdErBr6,Br Er Nd,8,4.244,4.195,0.023,0.035,0.0,0,0.07,0,2,1,-1,,,5.938,0.235,0.152,2,0,,5.365,1.492,4.182,0.03,0.158
agm2000088393,0,TlPbF3,F Pb Tl,10,4.309,4.195,0.038,0.155,0.0,1,0.92,0,1,1,-1,,,5.466,0.115,0.234,1,0,,6.105,1.836,4.434,0.4,0.254
agm2000089874,0,CsMgBr3,Br Cs Mg,10,4.204,4.196,0.06,0.107,0.0,0,0.14,0,1,0,-1,,,4.217,0.227,0.243,2,0,,6.794,1.77,5.176,0.89,0.483
agm2000142800,0,NdTmBr6,Br Nd Tm,8,4.211,4.196,0.014,0.036,0.0,0,0.01,0,1,1,-1,,,5.817,0.313,0.157,2,0,,5.319,1.408,4.228,0.03,0.093
agm2000097193,0,Dy2(BrF)3,Br Dy F,16,3.919,4.197,0.143,0.172,0.0,1,0.87,1,3,1,-1,,,6.039,0.506,0.287,2,0,,6.691,2.034,4.935,0.69,0.647
agm2000085786,0,RbCaBr3,Br Ca Rb,10,4.288,4.197,0.061,0.101,0.0,1,0.37,0,1,0,-1,,,4.791,0.087,0.208,0,0,,6.807,1.869,5.132,0.82,0.362
Cs2F2-fd11b1cd0dc1,1,CsF,Cs F,4,4.151,4.197,0.134,0.183,0.0,0,0.01,1,0,0,-1,,,5.947,0.533,0.387,2,2,3.101,6.334,1.614,4.876,0.85,0.604
agm2000025740,0,BaBr2,Ba Br,6,4.197,4.197,0.049,0.072,0.0,0,0.03,0,1,0,-1,,,5.188,0.067,0.16,0,0,,7.092,2.203,4.922,0.51,0.4
agm2000018242,0,LiI,I Li,12,4.253,4.198,0.071,0.073,0.0,1,0.95,0,1,1,-1,,,4.059,0.359,0.311,2,0,,6.714,1.66,5.275,0.23,0.336
agm2000037562,0,AlBr3,Al Br,16,4.239,4.199,0.037,0.118,0.01,0,0.17,0,1,1,-1,,,5.557,0.063,0.137,0,0,,6.02,1.91,4.274,0.36,0.249
agm2000034412,0,LiI,I Li,24,4.256,4.199,0.072,0.073,0.0,1,0.95,0,1,1,-1,,,4.059,0.359,0.311,2,0,,6.719,1.662,5.279,0.23,0.34
agm2000143869,0,PrBiCl6,Bi Cl Pr,8,4.242,4.199,0.039,0.065,0.0,0,0.03,0,1,1,-1,,,6.527,0.186,0.115,2,0,,4.905,1.442,3.647,0.05,0.261
agm2000142881,0,TbPrBr6,Br Pr Tb,8,4.229,4.199,0.023,0.025,0.0,0,0.0,0,1,1,-1,,,5.849,0.151,0.172,2,0,,5.505,1.466,4.27,0.06,0.153
agm2000003180,0,LiI,I Li,6,4.265,4.199,0.071,0.074,0.0,1,0.95,0,1,1,-1,,,4.058,0.359,0.311,2,0,,6.713,1.66,5.275,0.23,0.336
agm2000109716,0,BaBr2,Ba Br,3,4.195,4.199,0.05,0.072,0.0,0,0.03,0,1,0,0,Ba,Br,5.187,0.067,0.16,0,0,,7.097,2.204,4.925,0.51,0.407
agm2000142984,0,TbSmBr6,Br Sm Tb,8,4.228,4.199,0.017,0.03,0.0,0,0.01,0,1,1,-1,,,5.948,0.093,0.139,1,0,,5.374,1.4,4.297,0.06,0.116
