i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000139831,0,NaHgCl4,Cl Hg Na,12,0.016,0.016,0.061,0.142,0.91,0,0.16,2,1,0,-1,,,5.701,0.29,0.273,2,0,,,,,0.89,0.364
agm2000051467,0,HoBi2As3,As Bi Ho,6,0.052,0.016,0.085,0.144,0.98,1,0.67,2,0,0,-1,,,4.505,0.211,0.315,2,0,,,,,0.44,0.401
Br2Ti2-6d5bff05a4a4,1,TiBr,Br Ti,4,0.019,0.017,0.149,0.3,0.99,1,0.59,2,0,0,-1,,,3.306,0.12,0.136,1,1,3.157,,,,0.5,0.534
agm2000019397,0,Ag3Br5,Ag Br,16,0.174,0.017,0.081,0.151,0.83,1,0.85,2,3,1,-1,,,6.643,0.035,0.097,0,0,,,,,0.41,0.383
agm2000091631,0,Tl2(CuO)3,Cu O Tl,16,0.011,0.018,0.125,0.197,0.73,1,0.72,2,1,0,-1,,,4.831,0.226,0.339,2,0,,,,,0.93,0.566
agm2000100156,0,K2RbP,K P Rb,8,0.018,0.018,0.029,0.132,0.95,0,0.15,2,1,0,-1,,,3.938,0.329,0.319,2,0,,,,,0.75,0.236
agm2000143078,0,CsTeBr6,Br Cs Te,8,0.065,0.018,0.028,0.173,0.01,0,0.03,0,1,0,-1,,,5.408,0.148,0.218,2,0,,,,,0.76,0.223
agm2000143618,0,ThInCl6,Cl In Th,8,0.042,0.018,0.066,0.199,1.0,1,0.33,2,1,1,-1,,,6.371,0.107,0.115,1,0,,,,,0.36,0.311
agm2000132773,0,K2NbI6,I K Nb,9,0.029,0.019,0.101,0.089,1.0,0,0.0,2,2,1,-1,,,4.815,0.138,0.174,2,0,,,,,0.07,0.399
agm2000062219,0,VSeS,S Se V,6,0.082,0.019,0.042,0.135,0.7,1,0.82,2,0,0,-1,,,5.386,0.087,0.244,0,0,,,,,0.73,0.342
agm2000127981,0,PrS3,Pr S,8,0.046,0.019,0.082,0.247,0.98,0,0.11,2,1,1,-1,,,6.117,0.154,0.235,2,0,,,,,0.77,0.492
agm2000107421,0,Cu2SeO,Cu O Se,8,0.344,0.02,0.083,0.192,0.9,1,0.67,2,0,0,-1,,,5.262,0.13,0.192,1,0,,,,,0.88,0.499
agm2000132765,0,K2TaI6,I K Ta,9,0.032,0.02,0.051,0.096,1.0,0,0.02,2,1,1,-1,,,4.739,0.132,0.168,2,0,,,,,0.13,0.348
agm2000131977,0,Cs2RuCl6,Cl Cs Ru,9,0.011,0.021,0.05,0.118,1.0,0,0.0,2,1,1,-1,,,4.912,0.341,0.278,2,0,,,,,0.26,0.336
agm2000091018,0,TlSbN2,N Sb Tl,8,0.036,0.021,0.041,0.259,0.94,1,0.89,2,1,0,-1,,,4.277,0.114,0.396,2,0,,,,,0.98,0.329
agm2000133338,0,Na(HgBr3)2,Br Hg Na,9,0.23,0.021,0.143,0.169,0.24,0,0.13,1,1,0,-1,,,5.81,0.016,0.206,0,0,,,,,0.6,0.648
agm2000008597,0,FeI2,Fe I,6,0.042,0.021,0.034,0.146,0.79,0,0.06,2,1,0,-1,,,4.985,0.057,0.146,0,0,,,,,0.32,0.227
agm2000143420,0,CsCrCl6,Cl Cr Cs,8,0.021,0.021,0.036,0.156,0.99,0,0.04,2,1,0,-1,,,5.198,0.283,0.232,2,0,,,,,0.78,0.288
agm2000131415,0,Rb2NbBr6,Br Nb Rb,9,0.026,0.022,0.033,0.091,1.0,0,0.0,2,1,1,-1,,,5.111,0.194,0.211,2,0,,,,,0.07,0.223
agm2000140571,0,VGaS4,Ga S V,12,0.037,0.022,0.069,0.124,0.81,1,0.39,2,1,0,-1,,,5.962,0.023,0.18,0,0,,,,,0.78,0.413
agm2000142758,0,BaNbBr6,Ba Br Nb,8,0.032,0.022,0.049,0.085,0.99,0,0.0,2,1,1,-1,,,5.231,0.113,0.181,1,0,,,,,0.1,0.334
agm2000145234,0,MgNbCl6,Cl Mg Nb,8,0.032,0.022,0.077,0.099,0.95,0,0.0,2,1,1,-1,,,5.632,0.119,0.224,1,0,,,,,0.03,0.364
agm2000135923,0,Tl2Cd(HSe)6,Cd H Se Tl,15,0.039,0.022,0.114,0.264,0.9,1,0.5,2,1,0,-1,,,4.015,0.293,0.258,2,0,,,,,0.72,0.516
agm2000142259,0,CeTiI5,Ce I Ti,14,0.032,0.023,0.043,0.111,0.99,0,0.0,2,1,1,-1,,,4.686,0.199,0.118,2,0,,,,,0.21,0.291
FeI2-51934c0239e8,1,FeI2,Fe I,3,0.065,0.023,0.025,0.152,0.78,0,0.07,2,0,0,-1,,,4.984,0.053,0.149,0,1,5.01,,,,0.33,0.171
agm2000135599,0,SbPtBr,Br Pt Sb,6,0.02,0.023,0.11,0.205,1.0,0,0.27,2,1,1,-1,,,5.451,0.063,0.327,2,0,,,,,0.84,0.496
agm2000142489,0,AlTeI6,Al I Te,8,0.019,0.024,0.061,0.145,0.98,0,0.01,2,1,0,-1,,,5.361,0.1,0.114,1,0,,,,,0.31,0.288
agm2000000987,0,SnH2,H Sn,9,0.116,0.025,0.085,0.277,0.66,1,0.77,2,1,1,-1,,,4.57,0.21,0.256,2,0,,,,,0.93,0.509
agm2000135457,0,K2Tm(HO)6,H K O Tm,15,0.121,0.026,0.117,0.025,0.01,1,0.34,1,1,0,-1,,,2.953,0.06,0.173,0,0,,,,,0.79,0.528
agm2000111452,0,CrCuO4,Cr Cu O,12,0.016,0.026,0.087,0.17,0.72,1,0.96,2,1,0,-1,,,6.996,0.233,0.144,2,0,,,,,0.92,0.52
agm2000135393,0,K2Dy(HO)6,Dy H K O,15,0.099,0.026,0.106,0.021,0.01,0,0.25,1,1,0,-1,,,2.966,0.04,0.148,0,0,,,,,0.81,0.481
agm2000110986,0,CdCl,Cd Cl,4,0.085,0.026,0.157,0.263,0.69,0,0.1,2,1,0,-1,,,5.961,0.131,0.268,1,0,,,,,0.71,0.565
agm2000131349,0,Cs2NbBr6,Br Cs Nb,9,0.012,0.026,0.056,0.095,1.0,0,0.0,2,1,1,-1,,,4.785,0.24,0.283,2,0,,,,,0.14,0.381
agm2000105409,0,CsK2As,As Cs K,8,0.033,0.026,0.055,0.144,0.91,1,0.83,2,1,0,-1,,,4.28,0.243,0.287,2,0,,,,,0.84,0.447
agm2000039381,0,EuI3,Eu I,16,0.026,0.027,0.051,0.229,1.0,1,0.58,2,1,0,-1,,,5.189,0.313,0.154,2,0,,,,,0.74,0.412
agm2000134196,0,Rb2VBr6,Br Rb V,9,0.02,0.027,0.019,0.103,1.0,0,0.0,2,1,1,-1,,,5.331,0.186,0.208,2,0,,,,,0.27,0.127
agm2000135678,0,Rb2Sm(HO)6,H O Rb Sm,15,0.072,0.027,0.079,0.037,0.02,1,0.43,0,1,0,-1,,,3.097,0.059,0.178,0,0,,,,,0.83,0.474
agm2000029725,0,NaTl,Na Tl,8,0.023,0.027,0.06,0.183,1.0,1,0.55,2,1,1,-1,,,2.493,0.463,0.288,2,0,,,,,0.94,0.483
agm2000023694,0,CsTl,Cs Tl,12,0.04,0.028,0.047,0.26,0.99,1,0.96,2,1,0,-1,,,3.893,0.228,0.301,2,0,,,,,0.98,0.379
agm2000114433,0,Ce3F10,Ce F,13,0.05,0.028,0.073,0.216,0.05,0,0.0,0,1,0,-1,,,6.407,0.249,0.195,2,0,,,,,0.47,0.343
agm2000145403,0,NaCrCl6,Cl Cr Na,8,0.015,0.028,0.081,0.109,0.87,0,0.0,2,1,0,-1,,,5.786,0.196,0.187,2,0,,,,,0.44,0.383
agm2000121656,0,SrBr,Br Sr,4,0.24,0.029,0.258,0.219,0.06,1,0.4,2,1,0,-1,,,3.833,0.334,0.262,2,0,,,,,0.95,0.924
agm2000128536,0,CuF4,Cu F,10,0.023,0.029,0.113,0.212,0.92,0,0.31,2,1,1,-1,,,6.119,0.449,0.182,2,0,,,,,0.11,0.446
agm2000118735,0,Na6I5,I Na,11,0.27,0.03,0.11,0.203,0.1,1,0.54,1,1,0,-1,,,3.086,0.511,0.301,2,0,,,,,0.96,0.499
agm2000135211,0,NaCe3Br8,Br Ce Na,12,0.029,0.03,0.046,0.105,1.0,0,0.05,2,1,1,-1,,,5.377,0.208,0.219,2,0,,,,,0.32,0.313
agm2000065247,0,PtClF3,Cl F Pt,10,0.036,0.03,0.082,0.162,0.99,0,0.22,2,1,0,-1,,,6.925,0.261,0.154,2,0,,,,,0.61,0.493
agm2000139232,0,CeCuI4,Ce Cu I,12,0.032,0.031,0.08,0.114,1.0,0,0.02,2,0,0,-1,,,5.424,0.09,0.126,1,0,,,,,0.35,0.379
